Price,Adj Close,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,,
1999-05-10,45.48983383178711,53.5,53.859375,52.6875,53.3125,10604200
1999-05-11,46.20723342895508,54.34375,54.625,53.625,53.9375,8800800
1999-05-12,47.163822174072266,55.46875,55.65625,53.0,54.59375,12507400
1999-05-13,46.28697204589844,54.4375,56.0,54.1875,55.90625,9864000
1999-05-14,45.410099029541016,53.40625,54.0,53.0,53.375,12205400
1999-05-17,46.227176666259766,54.3671875,54.53125,52.4140625,52.9375,9906800
1999-05-18,46.0212516784668,54.125,54.625,53.5,54.3125,9267800
1999-05-19,46.65896987915039,54.875,54.90625,53.5,54.34375,7985600
1999-05-20,45.376895904541016,53.3671875,54.9921875,53.28125,54.9921875,5997200
1999-05-21,44.95840835571289,52.875,53.6875,52.59375,53.53125,10958600
1999-05-24,43.81585693359375,51.53125,53.0625,51.1875,52.96875,9569800
1999-05-25,42.381004333496094,49.84375,52.21875,49.625,51.46875,17771200
1999-05-26,43.56343078613281,51.234375,51.4375,48.9375,50.5,26772000
1999-05-27,43.523582458496094,51.1875,51.9296875,50.375,51.03125,23334800
1999-05-28,44.24098205566406,52.03125,52.3125,50.84375,51.5,12969800
1999-06-01,43.25785446166992,50.875,52.1875,50.59375,51.9375,6960200
1999-06-02,43.98855209350586,51.734375,52.0,49.5703125,50.84375,11996600
1999-06-03,43.364131927490234,51.0,52.125,50.6875,52.125,11147800
1999-06-04,44.692691802978516,52.5625,52.7421875,51.375,51.375,12987200
1999-06-07,45.6226921081543,53.65625,53.9921875,52.8125,52.9296875,11491800
1999-06-08,44.480125427246094,52.3125,54.03125,52.0390625,53.78125,8134800
1999-06-09,45.224117279052734,53.1875,53.3359375,52.46875,52.5,8384400
1999-06-10,44.70598602294922,52.578125,52.9375,51.9453125,52.625,9392400
1999-06-11,44.02839279174805,51.78125,52.9921875,51.3125,52.9375,16567600
1999-06-14,43.198089599609375,50.8046875,51.96875,50.6875,51.96875,14136800
1999-06-15,43.84241485595703,51.5625,51.8671875,50.78125,50.9296875,9147800
1999-06-16,46.09431457519531,54.2109375,54.2109375,52.78125,52.84375,15060200
1999-06-17,46.605831146240234,54.8125,55.0625,53.5,53.5,16278200
1999-06-18,46.81838607788086,55.0625,55.21875,54.21875,54.3125,5392800
1999-06-21,48.22002029418945,56.7109375,56.7421875,55.34375,55.4375,10565200
1999-06-22,46.76525115966797,55.0,57.09375,55.0,56.375,10862800
1999-06-23,47.50259017944336,55.8671875,56.0,54.65625,55.0078125,9607000
1999-06-24,46.5593376159668,54.7578125,55.875,54.5,55.84375,14988800
1999-06-25,46.49953079223633,54.6875,55.5625,54.1875,55.125,8635600
1999-06-28,47.602237701416016,55.984375,56.0625,54.703125,55.15625,7666200
1999-06-29,48.253231048583984,56.75,56.96875,55.65625,55.9375,9000400
1999-06-30,48.99722671508789,57.625,59.9375,56.1328125,56.8046875,19467600
1999-07-01,49.3293571472168,58.015625,58.34375,56.8125,57.8125,6822600
1999-07-02,49.953792572021484,58.75,58.8125,58.0,58.0,3302000
1999-07-06,49.634918212890625,58.375,59.65625,58.0625,59.0625,8794800
1999-07-07,49.71464157104492,58.46875,58.71875,57.9375,58.34375,10520000
1999-07-08,50.378936767578125,59.25,59.4921875,58.1875,58.46875,11225000
1999-07-09,50.88376998901367,59.84375,59.90625,59.03125,59.46875,4206800
1999-07-12,50.61806106567383,59.53125,60.375,59.1875,60.0625,7816200
1999-07-13,50.378936767578125,59.25,59.46875,58.78125,59.25,6230000
1999-07-14,51.23585510253906,60.2578125,60.375,59.0,59.84375,6909400
1999-07-15,51.707481384277344,60.8125,60.8125,60.1328125,60.46875,6539800
1999-07-16,52.18576431274414,61.375,61.71875,60.8203125,60.84375,4913800
1999-07-19,51.65434265136719,60.75,61.625,60.5078125,61.625,6833000
1999-07-20,49.6615104675293,58.40625,60.09375,58.25,60.0078125,14837400
1999-07-21,49.900638580322266,58.6875,59.1953125,58.0625,58.53125,10980400
1999-07-22,48.631874084472656,57.1953125,58.6875,57.03125,58.6875,15148400
1999-07-23,48.704959869384766,57.28125,57.8671875,56.6875,57.625,12115000
1999-07-26,47.50925064086914,55.875,57.125,55.78125,56.5,10720000
1999-07-27,48.46580505371094,57.0,57.875,56.515625,57.0,13732800
1999-07-28,49.415714263916016,58.1171875,58.4375,56.9453125,57.6875,10161800
1999-07-29,48.35952377319336,56.875,57.5,56.3125,57.03125,13033800
1999-07-30,48.12037658691406,56.59375,57.75,56.5078125,57.125,10947400
1999-08-02,47.98752975463867,56.4375,57.8125,56.21875,56.6875,9642400
1999-08-03,47.67533493041992,56.0703125,57.21875,55.25,57.2109375,13005000
1999-08-04,46.81174087524414,55.0546875,56.4921875,55.0078125,56.0703125,13227600
1999-08-05,47.55576705932617,55.9296875,55.9296875,53.75,55.0625,18695200
1999-08-06,47.044246673583984,55.328125,56.5625,54.9375,55.53125,12392200
1999-08-09,46.43975067138672,54.6171875,55.6875,54.5078125,55.53125,7983400
1999-08-10,46.0212516784668,54.125,54.8671875,52.9375,54.46875,16767200
1999-08-11,47.53581237792969,55.90625,56.0,54.265625,55.09375,13101400
1999-08-12,46.97782897949219,55.25,56.5,55.125,56.125,12715000
1999-08-13,49.0238037109375,57.65625,57.71875,56.3125,56.40625,14342600
1999-08-16,49.415714263916016,58.1171875,58.3125,57.25,57.625,11470600
1999-08-17,49.6615104675293,58.40625,58.6875,57.34375,58.625,11408400
1999-08-18,49.10349655151367,57.75,58.84375,57.53125,58.125,7035200
1999-08-19,48.51893997192383,57.0625,57.625,56.6953125,57.21875,10157800
1999-08-20,49.28951644897461,57.96875,57.96875,56.8125,57.125,6920800
1999-08-23,50.857215881347656,59.8125,59.8125,58.3671875,58.5,9652000
1999-08-24,51.20261764526367,60.21875,60.875,59.2578125,59.375,13891400
1999-08-25,52.29204559326172,61.5,61.75,59.9375,60.59375,11352000
1999-08-26,51.421836853027344,60.4765625,61.71875,60.3828125,61.5,9753000
1999-08-27,50.91033935546875,59.875,60.9375,59.71875,60.9296875,9635400
1999-08-30,50.19293212890625,59.03125,60.3125,58.875,60.125,10141600
1999-08-31,50.750938415527344,59.6875,60.0625,58.125,59.4375,14590400
1999-09-01,51.116275787353516,60.1171875,60.625,59.6875,60.0625,10752000
1999-09-02,50.936912536621094,59.90625,60.21875,58.875,59.0,14583200
1999-09-03,53.27518844604492,62.65625,62.6796875,61.40625,61.625,14195400
1999-09-07,53.03603744506836,62.375,63.15625,62.28125,62.53125,9009000
1999-09-08,52.318626403808594,61.53125,62.625,61.03125,62.0,14303400
1999-09-09,53.06261444091797,62.40625,62.5625,61.25,61.5625,12677600
1999-09-10,53.67374801635742,63.125,63.7421875,62.53125,63.25,10251000
1999-09-13,53.029396057128906,62.3671875,63.1875,62.03125,63.0625,7240800
1999-09-14,53.32167434692383,62.7109375,63.1484375,62.0,62.125,10022600
1999-09-15,52.29204559326172,61.5,63.4921875,61.4375,63.4921875,16096000
1999-09-16,52.26546096801758,61.46875,62.03125,60.1953125,61.46875,15371000
1999-09-17,53.833194732666016,63.3125,63.4375,61.9375,62.03125,14506400
1999-09-20,53.959407806396484,63.4609375,63.75,63.03125,63.5,6187200
1999-09-21,52.6640625,61.9375,63.03125,61.7578125,62.90625,12265800
1999-09-22,53.22205352783203,62.59375,62.921875,61.28125,62.03125,12441800
1999-09-23,51.016624450683594,60.0,63.375,59.6328125,63.25,19766000
1999-09-24,51.083065032958984,60.078125,60.3125,58.625,59.625,23570800
1999-09-27,51.44176483154297,60.5,61.375,60.3125,60.9375,12608800
1999-09-28,51.68091583251953,60.78125,61.0,58.90625,60.1953125,20622000
1999-09-29,50.644649505615234,59.5625,61.21875,59.5625,60.78125,15557000
1999-09-30,51.17607116699219,60.1875,60.8125,59.375,60.125,17604200
1999-10-01,51.19599533081055,60.2109375,60.2109375,58.75,59.375,19607400
1999-10-04,52.34518814086914,61.5625,61.78125,60.1875,60.53125,12434200
1999-10-05,52.71718978881836,62.0,62.75,60.6875,61.78125,19526400
1999-10-06,53.77338790893555,63.2421875,63.3359375,61.4296875,62.375,19098200
1999-10-07,53.647186279296875,63.09375,63.8984375,62.625,63.59375,22013600
1999-10-08,54.21179962158203,63.7578125,63.9375,62.0,62.84375,22523200
1999-10-11,54.975746154785156,64.65625,64.6875,63.78125,63.9375,13016000
1999-10-12,53.726898193359375,63.1875,64.953125,63.0,64.4375,20182800
1999-10-13,52.13262176513672,61.3125,63.21875,61.0625,62.46875,22570600
1999-10-14,52.458106994628906,61.6953125,62.125,60.53125,61.53125,22130400
1999-10-15,50.91033935546875,59.875,61.0,59.5078125,60.125,33703000
1999-10-18,50.2659912109375,59.1171875,60.15625,57.4140625,59.9375,24714800
1999-10-19,50.538352966308594,59.4375,60.0625,58.4375,59.7578125,26657200
1999-10-20,52.0794792175293,61.25,61.7421875,59.75,60.34375,22486400
1999-10-21,52.929771423339844,62.25,62.25,59.8125,60.25,22454800
1999-10-22,52.69062805175781,61.96875,63.25,61.75,62.6171875,16589400
1999-10-25,52.71718978881836,62.0,62.6796875,61.4375,61.6875,13855400
1999-10-26,52.29204559326172,61.5,63.09375,61.375,62.75,13542400
1999-10-27,52.21234130859375,61.40625,61.625,60.4453125,61.34375,15225200
1999-10-28,54.019168853759766,63.53125,63.75,61.8125,62.375,14103800
1999-10-29,55.90573501586914,65.75,66.25,64.78125,65.0,19000000
1999-11-01,55.61344528198242,65.40625,66.53125,65.3203125,65.75,9681800
1999-11-02,55.64664840698242,65.4453125,66.5625,65.1953125,65.75,12834800
1999-11-03,56.75600814819336,66.75,67.125,66.1875,66.375,18752600
1999-11-04,57.393699645996094,67.5,67.8125,66.78125,67.6796875,20048600
1999-11-05,57.97829055786133,68.1875,69.21875,68.1875,68.875,15134600
1999-11-08,59.147438049316406,69.5625,69.8046875,68.21875,68.4375,10890800
1999-11-09,58.748844146728516,69.09375,70.25,68.5,70.125,14629800
1999-11-10,59.5193977355957,70.0,70.59375,68.8125,69.125,16561000
1999-11-11,60.58222961425781,71.25,71.34375,70.125,70.75,18501400
1999-11-12,61.37937927246094,72.1875,72.25,69.375,71.625,28646600
1999-11-15,61.259803771972656,72.046875,72.5,71.6875,72.25,10909400
1999-11-16,62.814239501953125,73.875,74.21875,72.0,72.3125,19126400
1999-11-17,61.96396255493164,72.875,74.1953125,72.5,73.875,21683600
1999-11-18,63.863765716552734,75.109375,75.109375,72.9375,73.375,17738400
1999-11-19,64.4350357055664,75.78125,75.90625,74.5,74.78125,17939400
1999-11-22,63.45193862915039,74.625,77.5,74.625,75.9375,18841800
1999-11-23,63.7442512512207,74.96875,76.5,74.25,76.4375,24047600
1999-11-24,65.84335327148438,77.4375,77.7421875,74.40625,75.1875,18617800
1999-11-26,66.055908203125,77.6875,78.78125,77.375,78.40625,8045200
1999-11-29,64.96650695800781,76.40625,78.1875,76.3125,77.53125,20485200
1999-11-30,62.495384216308594,73.5,76.6875,73.5,76.5625,23702400
1999-12-01,63.85049819946289,75.09375,75.46875,73.75,74.3125,23205800
1999-12-02,65.87654113769531,77.4765625,77.625,75.328125,75.375,17229200
1999-12-03,67.27816772460938,79.125,80.1875,78.90625,79.3125,21444600
1999-12-06,67.88934326171875,79.84375,80.5,78.6875,79.4296875,16018400
1999-12-07,67.88934326171875,79.84375,80.40625,78.8359375,80.09375,23397000
1999-12-08,67.06559753417969,78.875,80.4921875,78.6875,79.8671875,19563000
1999-12-09,67.38449096679688,79.25,80.4375,77.25,80.0,28445400
1999-12-10,67.94246673583984,79.90625,80.1875,78.125,79.90625,20428400
1999-12-13,68.86578369140625,80.9921875,81.3359375,79.28125,79.6328125,16209200
1999-12-14,67.62362670898438,79.53125,81.21875,79.0,80.75,27760200
1999-12-15,68.92559814453125,81.0625,81.0625,77.9375,78.625,31797200
1999-12-16,70.62615203857422,83.0625,83.25,81.75,82.125,27219600
1999-12-17,71.23731994628906,83.78125,84.875,83.4296875,84.5,23892400
1999-12-20,72.16727447509766,84.875,85.25,83.6875,84.40625,15392000
1999-12-21,76.04667663574219,89.4375,89.4375,84.640625,85.125,26003800
1999-12-22,75.80757141113281,89.15625,89.3125,87.4375,89.1875,22313600
1999-12-23,76.7109375,90.21875,90.75,89.0,89.8671875,17543600
1999-12-27,76.25926208496094,89.6875,90.34375,87.90625,90.3125,19281800
1999-12-28,75.7809829711914,89.125,90.5,88.5625,89.75,15346400
1999-12-29,78.6506576538086,92.5,92.5,89.875,90.0,16512600
1999-12-30,77.80037689208984,91.5,93.75,91.5,93.625,21887000
1999-12-31,77.69408416748047,91.375,93.1875,91.375,92.625,14464400
2000-01-03,80.56377410888672,94.75,96.1875,90.75,96.1875,36345200
2000-01-04,75.0370101928711,88.25,93.5,87.9375,92.0,33786600
2000-01-05,73.12382507324219,86.0,89.625,84.25,87.5,42496600
2000-01-06,68.10189819335938,80.09375,88.0,79.75,86.875,37134800
2000-01-07,76.52494812011719,90.0,90.0,82.5,82.9375,28138200
2000-01-10,78.6506576538086,92.5,93.9375,89.9375,91.0,29675600
2000-01-11,74.82440185546875,88.0,92.875,87.0,91.75,32546600
2000-01-12,73.17698669433594,86.0625,89.2421875,86.0,89.0,29050000
2000-01-13,77.58780670166016,91.25,91.5,87.078125,88.5,25165200
2000-01-14,79.3946533203125,93.375,93.625,92.0,93.0,21898600
2000-01-18,79.81974792480469,93.875,94.4375,91.4375,92.0625,16752400
2000-01-19,81.62662506103516,96.0,96.0,92.4296875,93.4921875,19006000
2000-01-20,80.82942199707031,95.0625,96.875,94.0078125,95.5,25958000
2000-01-21,81.83918762207031,96.25,96.5625,95.0625,96.5,18698200
2000-01-24,77.90665435791016,91.625,97.625,90.96875,97.4375,28340400
2000-01-25,79.07579803466797,93.0,94.1171875,89.40625,91.875,33276200
2000-01-26,75.88724517822266,89.25,93.3125,89.0,93.25,23095600
2000-01-27,77.00321960449219,90.5625,92.5,87.625,91.75,30739200
2000-01-28,73.12382507324219,86.0,90.46875,84.75,90.0,35313800
2000-01-31,76.25926208496094,89.6875,90.0,83.5,85.875,36014600
2000-02-01,78.30519104003906,92.09375,92.5,88.4375,89.53125,26417600
2000-02-02,78.96946716308594,92.875,94.71875,92.09375,92.25,26169200
2000-02-03,82.0517807006836,96.5,96.625,92.28125,94.3125,30579800
2000-02-04,82.60973358154297,97.15625,98.2421875,96.21875,97.0,26640000
2000-02-07,83.75228881835938,98.5,98.625,96.25,97.25,17761000
2000-02-08,87.25971984863281,102.625,102.875,99.375,99.375,21999400
2000-02-09,84.17744445800781,99.0,102.1953125,98.75,102.0625,27258200
2000-02-10,86.94086456298828,102.25,102.25,98.5546875,99.8125,26341600
2000-02-11,84.92143249511719,99.875,102.0625,98.0,102.0625,24876000
2000-02-14,84.8151626586914,99.75,100.0,97.75,99.9921875,22814600
2000-02-15,85.42631530761719,100.46875,100.625,95.875,98.9375,30572800
2000-02-16,85.0277328491211,100.0,101.6875,99.3125,99.90625,25310600
2000-02-17,86.8345718383789,102.125,103.25,99.625,101.1875,30080200
2000-02-18,83.69918060302734,98.4375,103.0,98.4375,102.625,25271200
2000-02-22,83.96488952636719,98.75,99.9375,96.25,99.0,37226200
2000-02-23,88.64139556884766,104.25,105.0,99.15625,99.6796875,32170800
2000-02-24,90.55451965332031,106.5,106.8046875,102.0,104.875,48868200
2000-02-25,88.48196411132812,104.0625,107.5,103.875,106.1875,32617600
2000-02-28,88.42882537841797,104.0,105.6875,100.5,103.25,38216200
2000-02-29,90.76710510253906,106.75,107.09375,104.9375,105.75,23978600
2000-03-01,91.5111083984375,107.625,108.5625,106.5,107.25,24468400
2000-03-02,89.39201354980469,105.1328125,108.1875,104.75,108.0625,32739200
2000-03-03,94.43392181396484,111.0625,111.125,107.0,108.0,32017200
2000-03-06,95.17792510986328,111.9375,113.21875,110.25,111.75,23268400
2000-03-07,93.7430648803711,110.25,113.875,108.75,113.8125,39471000
2000-03-08,94.59333801269531,111.25,112.0,106.28125,111.0,43512600
2000-03-09,97.7818832397461,115.0,115.5,109.09375,111.21875,30101400
2000-03-10,97.35675048828125,114.5,116.4375,113.5078125,114.875,29750600
2000-03-13,94.805908203125,111.5,114.125,109.53125,110.0,37544200
2000-03-14,91.29850769042969,107.375,113.375,105.0,112.75,39106800
2000-03-15,87.4722671508789,102.875,107.0,101.875,106.5,51202600
2000-03-16,92.4676742553711,108.75,109.25,101.0,105.375,55282200
2000-03-17,94.22135925292969,110.8125,111.0625,107.9375,108.0,31422400
2000-03-20,91.56427764892578,107.6875,111.5,106.25,111.0,21167200
2000-03-21,95.01850128173828,111.75,111.9375,103.5625,106.125,33435100
2000-03-22,96.93161010742188,114.0,115.96875,111.125,113.5,24370200
2000-03-23,98.63216400146484,116.0,117.75,113.5625,114.484375,19227400
2000-03-24,99.96070861816406,117.5625,120.5,115.015625,117.484375,22063000
2000-03-27,100.1201171875,117.75,119.5,117.125,118.0,11752600
2000-03-28,97.56932067871094,114.75,117.8125,113.125,116.984375,18336300
2000-03-29,93.53050231933594,110.0,115.4375,110.0,115.375,27189500
2000-03-30,91.19222259521484,107.25,112.75,103.5,107.25,42328700
2000-03-31,93.10537719726562,109.5,110.625,104.0,108.140625,31349900
2000-04-03,87.525390625,102.9375,109.125,100.75,107.765625,31551300
2000-04-04,86.67514038085938,101.9375,103.9375,88.3125,103.625,66213000
2000-04-05,85.13398742675781,100.125,103.9375,96.25,97.5,37631500
2000-04-06,87.15340423583984,102.5,103.875,99.75,102.375,30499900
2000-04-07,90.66082763671875,106.625,107.375,102.625,104.125,20645500
2000-04-10,85.13398742675781,100.125,107.6875,99.25,107.625,26988200
2000-04-11,83.11461639404297,97.75,101.5,95.0625,97.125,34497100
2000-04-12,78.22550201416016,92.0,98.75,90.25,97.625,34824400
2000-04-13,74.82440185546875,88.0,96.0,88.0,92.8125,46330500
2000-04-14,68.34102630615234,80.375,88.5,78.0,86.0625,60851300
2000-04-17,76.20610809326172,89.625,90.0,78.0,78.015625,55398500
2000-04-18,78.22550201416016,92.0,93.0,87.375,89.484375,36260900
2000-04-19,75.83412170410156,89.1875,93.625,89.0625,92.5,28082500
2000-04-20,74.18672180175781,87.25,90.96875,86.0625,90.375,21255600
2000-04-24,72.06101989746094,84.75,85.25,79.875,83.4375,31190900
2000-04-25,76.92352294921875,90.46875,90.5,86.0,86.5,28663200
2000-04-26,74.29296875,87.375,92.421875,87.125,90.625,25688300
2000-04-27,77.58780670166016,91.25,92.484375,82.25,84.0,37010400
2000-04-28,80.56377410888672,94.75,94.75,92.125,93.5625,24828400
2000-05-01,81.30776977539062,95.625,96.875,94.25,95.75,23205700
2000-05-02,76.63125610351562,90.125,95.625,89.75,94.875,20307900
2000-05-03,75.7809829711914,89.125,90.25,85.515625,89.5,26589700
2000-05-04,75.94036865234375,89.3125,90.75,87.625,89.0,17750700
2000-05-05,77.74723815917969,91.4375,92.3125,88.03125,88.125,20571200
2000-05-08,74.71810913085938,87.875,90.75,87.75,90.5,13903000
2000-05-09,73.12382507324219,86.0,89.125,84.3125,88.5,19825800
2000-05-10,67.80962371826172,79.75,84.984375,79.5,84.375,34847500
2000-05-11,71.9547119140625,84.625,85.25,80.875,82.75,24709700
2000-05-12,71.9547119140625,84.625,87.5625,84.0,85.375,17832000
2000-05-15,75.09013366699219,88.3125,88.625,82.625,84.8125,17950800
2000-05-16,77.21578216552734,90.8125,91.5,88.0625,90.0,23758800
2000-05-17,75.6215591430664,88.9375,90.5,87.75,89.25,20339400
2000-05-18,72.91126251220703,85.75,89.359375,85.375,89.0,19063000
2000-05-19,69.45702362060547,81.6875,85.0,81.3125,83.75,28178100
2000-05-22,69.4038314819336,81.625,82.25,75.578125,81.625,43879800
2000-05-23,63.61137390136719,74.8125,82.625,74.25,81.375,31898500
2000-05-24,67.59703063964844,79.5,79.875,72.25,75.0,49476000
2000-05-25,66.10904693603516,77.75,82.25,76.5,80.25,29632700
2000-05-26,66.10904693603516,77.75,79.25,75.75,77.75,18203200
2000-05-30,72.7518539428711,85.5625,85.9375,80.0,80.0,31590400
2000-05-31,70.67930603027344,83.125,86.671875,82.75,84.46875,29675400
2000-06-01,74.29296875,87.375,88.375,84.0,85.1875,28993500
2000-06-02,79.60717010498047,93.625,93.9375,82.5,92.625,31677200
2000-06-05,79.80650329589844,93.859375,95.3125,91.875,92.25,23784300
2000-06-06,77.58780670166016,91.25,95.0,90.875,93.1875,23200500
2000-06-07,79.66034698486328,93.6875,94.0,89.5625,91.5625,22524400
2000-06-08,79.28833770751953,93.25,94.875,91.625,94.625,19313800
2000-06-09,79.7134780883789,93.75,94.75,93.0,94.75,17014600
